col1,name,SPECOBJID,PLATEID,MJD,FIBERID,BPTCLASS,RA_1,DEC_1,Z,Z_ERR,OH_P2P5,OH_P16,OH_P50,OH_P84,OH_P97P5,OH_ENTROPY,objID,ra_1a,dec_1a,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,uJAVA,gSDSS,rSDSS,iSDSS,zSDSS,J0378,J0395,J0410,J0430,J0515,J0660,J0861,Separation,u-g,g-r,r-i,i-z,uJAVA-J0378,gSDSS-J0378,rSDSS-J0378,iSDSS-J0378,zSDSS-J0378,J0378-J0395,J0395-J0410,J0410-J0430,J0430-J0515,J0515-J0660,J0660-J0861,uJAVA-J0395,gSDSS-J0395,rSDSS-J0395,iSDSS-J0395,zSDSS-J0395,uJAVA-J0410,gSDSS-J0410,rSDSS-J0410,iSDSS-J0410,zSDSS-J0410,uJAVA-J0430,gSDSS-J0430,rSDSS-J0430,iSDSS-J0430,zSDSS-J0430,uJAVA-J0515,gSDSS-J0515,rSDSS-J0515,iSDSS-J0515,zSDSS-J0515,uJAVA-J0660,gSDSS-J0660,rSDSS-J0660,iSDSS-J0660,zSDSS-J0660,uJAVA-J0861,gSDSS-J0861,rSDSS-J0861,iSDSS-J0861,zSDSS-J0861
46998,67198,1.18E+18,1050,52721,523,1,228.62015,47.09959,0.17048125,1.07E-05,9.05212,9.095739,9.112613,9.151544,9.224812,168.88284,1.24E+18,228.6201333,47.09958728,3177,301,6,132,GALAXY,19.44746,18.30677,17.61073,17.20064,16.95062,19.549,18.311,17.628,17.245,17.076,19.455,19.405,19.28,18.84,18.073,17.559,17.129,0.042402098,1.14069,0.69604,0.41009,0.25002,0.094,-1.144,-1.827,-2.21,-2.379,0.05,0.125,0.44,0.767,0.514,0.43,0.144,-1.094,-1.777,-2.16,-2.329,0.269,-0.969,-1.652,-2.035,-2.204,0.709,-0.529,-1.212,-1.595,-1.764,1.476,0.238,-0.383,-0.169,-0.997,1.99,0.752,0.069,-0.314,-0.483,2.42,1.182,0.499,0.116,-0.053
72545,92782,9.15E+17,813,52354,36,1,242.70792,46.451115,0.08163025,8.04E-06,9.120534,9.125849,9.139235,9.174405,9.237693,205.66516,1.24E+18,242.7079371,46.45113699,2326,301,5,303,GALAXY,17.67273,16.41303,15.76848,15.37193,15.11528,17.565,16.394,15.807,15.437,15.234,17.646,17.46,17.101,16.772,16.213,15.673,15.298,0.165901725,1.2597,0.64455,0.39655,0.25665,-0.081,-1.252,-1.839,-2.209,-2.412,0.186,0.359,0.329,0.559,0.54,0.375,0.105,-1.066,-1.653,-2.023,-2.226,0.464,-0.707,-1.294,-1.664,-1.867,0.793,-0.378,-0.965,-1.335,-1.538,1.352,0.181,-0.37,-0.203,-0.979,1.892,0.721,0.134,-0.236,-0.439,2.267,1.096,0.509,0.139,-0.064
15600,35635,1.64E+18,1460,53138,93,1,198.95496,41.638233,0.07474498,9.38E-06,8.904894,8.945345,8.975981,9.005848,9.053234,151.20537,1.24E+18,198.9549492,41.63824089,3893,301,3,244,GALAXY,19.15564,17.76054,17.04935,16.64677,16.345,19.661,17.738,17.065,16.695,16.455,18.904,19.004,18.332,18.098,17.389,16.949,16.572,0.092950825,1.3951,0.71119,0.40258,0.30177,0.757,-1.166,-1.839,-2.209,-2.449,-0.1,0.672,0.234,0.709,0.44,0.377,0.657,-1.266,-1.939,-2.309,-2.549,1.329,-0.594,-1.267,-1.637,-1.877,1.563,-0.36,-1.033,-1.403,-1.643,2.272,0.349,-0.37,-0.24,-0.934,2.712,0.789,0.116,-0.254,-0.494,3.089,1.166,0.493,0.123,-0.117
28192,48302,1.49E+18,1323,52797,420,1,207.87839,56.04537,0.06964528,1.52E-05,9.042435,9.088157,9.137278,9.199231,9.310036,122.23865,1.24E+18,207.8783297,56.04536485,3705,301,5,78,GALAXY,18.57223,17.12979,16.33915,15.90973,15.60297,18.93,17.273,16.565,16.156,15.965,18.365,18.327,18.093,17.692,17.039,16.576,16.008,0.078381719,1.44244,0.79064,0.42942,0.30676,0.565,-1.092,-1.8,-2.209,-2.4,0.038,0.234,0.401,0.653,0.463,0.568,0.603,-1.054,-1.762,-2.171,-2.362,0.837,-0.82,-1.528,-1.937,-2.128,1.238,-0.419,-1.127,-1.536,-1.727,1.891,0.234,-0.409,-0.191,-1.074,2.354,0.697,-0.011,-0.42,-0.611,2.922,1.265,0.557,0.148,-0.043
27356,47438,1.50E+18,1332,52781,445,1,233.47649,47.072968,0.03803866,1.53E-05,8.481071,8.658657,8.767915,8.860206,8.9562845,58.43645,1.24E+18,233.4765153,47.07297476,3705,301,5,199,GALAXY,18.48561,17.27503,16.77709,16.49705,16.37447,18.182,17.307,16.818,16.608,16.508,18.814,17.982,17.763,17.561,17.135,16.628,16.483,0.177071062,1.21058,0.49794,0.28004,0.12258,-0.632,-1.507,-1.996,-2.206,-2.306,0.832,0.219,0.202,0.426,0.507,0.145,0.2,-0.675,-1.164,-1.374,-1.474,0.419,-0.456,-0.945,-1.155,-1.255,0.621,-0.254,-0.743,-0.953,-1.053,1.047,0.172,-0.21,-0.1,-0.627,1.554,0.679,0.19,-0.02,-0.12,1.699,0.824,0.335,0.125,0.025
28206,48316,1.49E+18,1323,52797,361,1,207.65536,55.94964,0.06996782,9.16E-06,8.752091,8.822183,8.853002,8.900758,8.930537,135.76411,1.24E+18,207.655361,55.94963345,3712,301,5,172,GALAXY,18.67311,17.62822,17.26513,17.01068,16.89089,18.479,17.934,17.606,17.311,17.41,19.517,18.712,18.153,18.293,17.687,17.486,17.608,0.270921672,1.04489,0.36309,0.25445,0.11979,-1.038,-1.583,-1.911,-2.206,-2.107,0.805,0.559,-0.14,0.606,0.201,-0.122,-0.233,-0.778,-1.106,-1.401,-1.302,0.326,-0.219,-0.547,-0.842,-0.743,0.186,-0.359,-0.687,-0.982,-0.883,0.792,0.247,-0.295,0.099,-0.277,0.993,0.448,0.12,-0.175,-0.076,0.871,0.326,-0.002,-0.297,-0.198
27436,47519,1.50E+18,1331,52766,550,1,232.1559,47.89605,0.07485515,1.43E-05,9.045879,9.075493,9.123641,9.167554,9.245028,132.08995,1.24E+18,232.1559157,47.89607318,3705,301,5,191,GALAXY,19.52058,18.08701,17.38979,17.04782,16.77041,19.404,17.534,16.922,16.627,16.407,18.832,18.688,18.231,18.018,17.171,16.869,16.445,0.140396134,1.43357,0.69722,0.34197,0.27741,0.572,-1.298,-1.91,-2.205,-2.425,0.144,0.457,0.213,0.847,0.302,0.424,0.716,-1.154,-1.766,-2.061,-2.281,1.173,-0.697,-1.309,-1.604,-1.824,1.386,-0.484,-1.096,-1.391,-1.611,2.233,0.363,-0.295,-0.22,-0.764,2.535,0.665,0.053,-0.242,-0.462,2.959,1.089,0.477,0.182,-0.038
118298,138597,4.39E+17,390,51900,466,1,5.2466207,0.5271436,0.14436805,7.27E-06,9.008503,9.049284,9.075825,9.114187,9.144477,167.75787,1.24E+18,5.246608168,0.527139213,4247,301,5,144,GALAXY,19.13028,18.15955,17.55244,17.18869,17.00944,18.977,18.071,17.568,17.334,17.159,19.537,18.704,18.88,18.621,18.01,17.499,17.093,0.229274746,0.97073,0.60711,0.36375,0.17925,-0.56,-1.466,-1.969,-2.203,-2.378,0.833,-0.176,0.259,0.611,0.511,0.406,0.273,-0.633,-1.136,-1.37,-1.545,0.097,-0.809,-1.312,-1.546,-1.721,0.356,-0.55,-1.053,-1.287,-1.462,0.967,0.061,-0.234,-0.175,-0.851,1.478,0.572,0.069,-0.165,-0.34,1.884,0.978,0.475,0.241,0.066
25223,45295,1.53E+18,1357,53034,348,1,151.7071,41.07232,0.08866002,7.69E-06,9.006241,9.050993,9.088871,9.102099,9.139721,192.24783,1.24E+18,151.7071098,41.07231781,3813,301,6,64,GALAXY,18.44618,17.04488,16.29978,15.91877,15.62377,18.385,16.945,16.298,15.914,15.641,18.115,18.01,17.737,17.592,16.654,16.127,15.789,0.094766703,1.4013,0.7451,0.38101,0.295,0.27,-1.17,-1.817,-2.201,-2.474,0.105,0.273,0.145,0.938,0.527,0.338,0.375,-1.065,-1.712,-2.096,-2.369,0.648,-0.792,-1.439,-1.823,-2.096,0.793,-0.647,-1.294,-1.678,-1.951,1.731,0.291,-0.384,-0.273,-1.013,2.258,0.818,0.171,-0.213,-0.486,2.596,1.156,0.509,0.125,-0.148
99454,119718,6.14E+17,545,52202,168,1,121.33594,39.955284,0.07063993,8.13E-06,8.850241,8.910171,8.931994,8.966056,8.996337,161.28436,1.24E+18,121.3359511,39.95529858,1889,301,3,110,GALAXY,19.73615,18.45971,17.75985,17.28772,16.95462,19.695,18.449,17.778,17.339,17.063,19.539,19.43,18.951,19.062,18.285,17.668,17.207,0.117857654,1.27644,0.69986,0.47213,0.3331,0.156,-1.09,-1.761,-2.2,-2.476,0.109,0.479,-0.111,0.777,0.617,0.461,0.265,-0.981,-1.652,-2.091,-2.367,0.744,-0.502,-1.173,-1.612,-1.888,0.633,-0.613,-1.284,-1.723,-1.999,1.41,0.164,-0.439,-0.276,-1.222,2.027,0.781,0.11,-0.329,-0.605,2.488,1.242,0.571,0.132,-0.144
