delta_E_Z,delta_E_OH,delta_E_M_f,delta_E_SFR_f,r mag
0.001988896762666656,-0.08745924177777553,0.13528642342221708,0.02904485927777789,18.23386
-0.000707874783333319,-0.13255278788889235,-0.06700603815555972,-0.03992399997555518,19.15191
-0.00045902489288887627,-0.11100143199999302,-0.02173834866666624,-0.10057018490355549,17.78128
0.003804652739999942,0.2007875414000022,0.15370073762221104,0.14031681102088822,19.43401
0.010039797766000114,0.2576820543333316,0.05899198644445036,0.41317587863511096,19.26408
0.0006068611815555833,0.029622001555539512,-0.07450203044445836,0.09965316934888863,16.32379
0.0019839264082222585,0.03031899566665608,0.06506033977777648,-0.011076355817555616,18.29628
-0.0054903689237778,0.0022020848888750777,-0.020562469777779313,0.049906532224444966,19.1239
-0.0019349559742222258,-0.0801947082222263,-0.10682171322221734,-0.38098028098911113,17.75741
0.0005827446457777399,0.07541738500000861,-0.0348343652222276,0.0889250713688885,18.03643
-0.005239603120000005,-0.3401228132222123,-0.08440284182221269,-0.3824509440199987,19.16153
0.005326672949555411,-0.02557236277778685,-0.17660068488888925,-0.19760361151933392,19.43642
0.001884309474222197,0.03241115366665959,0.025146142733341037,0.11045827010222209,17.9987
0.002341755253777722,-0.04131457022221596,0.002214253222227569,-0.11846325575755544,18.78488
0.0018769427877777939,-0.1677848191111142,-0.06708388255556486,-0.007501820199998788,19.1372
0.0029144179344446075,-0.0653048994444454,0.03228350411112757,-0.2884958056915563,18.60807
0.0032027910631111517,0.030683974777769407,0.07547655199999603,-0.04727616265311285,17.32747
0.0010866793566666894,-0.025052973888897156,-0.006690714888883065,0.043132375674666615,18.47028
0.0033439227224444507,-0.15629638966666448,0.06889321824444039,-0.02758877653088787,19.34128
-0.0010012938339998556,-0.1257317142222263,-0.029123062777783204,-0.3108872386406669,17.93619
-0.003575180003777753,-0.08273224355555087,-0.03578147788888941,-0.26630890402733387,19.57362
0.006447261457333361,0.30887607955554763,0.07157063422221555,0.06595417349599997,19.80117
-0.0006606277997779214,0.004795399888887886,-0.08770769055556649,0.21238947381199924,18.94688
0.006870388130444688,-0.0976132369999938,-0.050486524777790365,-0.3472425892666665,19.3023
0.0023954429653333803,-0.060241999666676094,0.11140089055556679,-0.058731045106222304,18.25858
0.0026458475222222028,-0.007838668777782942,0.005118363333320275,0.07971156118755568,18.36284
-0.016059682788666818,0.04145571711110563,-0.11705358633333063,-0.2575823252180013,18.59709
-0.004823785221999957,-0.06921687033332269,-0.0001558178888920736,-0.23751893091822207,19.34336
-0.00900057329600007,-0.06923936555556054,0.032662932311119164,0.1471795924664444,19.97001
0.001497387983111012,0.000608223888900028,0.019751327999994572,-0.06622904155111176,18.70305
0.0018743692235555567,-0.0400084096666653,0.045281540555562216,-0.10543183397399947,18.59152
0.0003234939611110946,-0.11857461622222232,-0.03706964544445057,0.15971297027333575,18.31879
-0.020272657544222333,-0.07556312677777655,-0.17644207588889493,-0.44903706035155555,18.57804
-0.0016470834295555445,0.028362290333330265,-0.029465408999996612,0.036582832648444974,17.89001
0.0007924194755555836,0.0761617531111245,0.07282765533332736,0.09629806155733422,19.23346
-0.0029798715406665344,0.0258649390000123,-0.06401385588888786,-0.11055680720000016,18.90749
0.00015875607133336578,0.06079825811110062,0.006268781444454419,0.08574235729488855,17.41078
